league,season,match_id,status,round_name,referee_id,venue_id,stage_name,group_name,week,deleted,datetime,home_tean_id,home_form,home_coach_id,away_tean_id,away_form,away_coach_id,home_score,away_score,ht_score,ft_score,home_standings_position,away_standings_position,weather_desc,fahrenheit,wind_kmph,wind_miles,wind_direction,humidity_percent,pressure,result
J1,2019,497668,Finished,1,NaN,1590,NaN,NaN,8,0,2019-02-22 11:30:00,1045,NaN,NaN,1041,NaN,NaN,1,0,0-0,1-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497669,Finished,1,NaN,2413,NaN,NaN,8,0,2019-02-23 06:00:00,1046,NaN,NaN,1040,NaN,NaN,0,4,0-0,0-4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497670,Finished,1,NaN,1587,NaN,NaN,8,0,2019-02-23 06:00:00,1047,NaN,NaN,1052,NaN,NaN,0,0,0-0,0-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497671,Finished,1,NaN,1930,NaN,NaN,8,0,2019-02-23 06:00:00,1051,NaN,NaN,1043,NaN,NaN,1,1,0-1,1-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497672,Finished,1,NaN,1589,NaN,NaN,8,0,2019-02-23 06:00:00,1050,NaN,NaN,1039,NaN,NaN,0,0,0-0,0-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497673,Finished,1,NaN,2522,NaN,NaN,8,0,2019-02-23 07:00:00,1053,NaN,NaN,1044,NaN,NaN,1,2,0-1,1-2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497674,Finished,1,NaN,2277,NaN,NaN,8,0,2019-02-23 07:00:00,1036,NaN,NaN,1042,NaN,NaN,1,1,0-1,1-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497675,Finished,1,NaN,2862,NaN,NaN,8,0,2019-02-23 07:00:00,1037,NaN,NaN,1048,NaN,NaN,2,3,1-3,2-3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497676,Finished,1,NaN,1443,NaN,NaN,8,0,2019-02-23 08:00:00,1035,NaN,NaN,1049,NaN,NaN,2,0,0-0,2-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497677,Finished,2,NaN,1589,NaN,NaN,9,0,2019-03-01 11:00:00,1050,NaN,NaN,1053,NaN,NaN,1,1,1-1,1-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497678,Finished,2,NaN,1930,NaN,NaN,9,0,2019-03-01 11:00:00,1051,NaN,NaN,1036,NaN,NaN,0,0,0-0,0-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,draw
J1,2019,497679,Finished,2,NaN,1343,NaN,NaN,9,0,2019-03-02 05:00:00,1048,NaN,NaN,1047,NaN,NaN,2,1,2-0,2-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497680,Finished,2,NaN,1926,NaN,NaN,9,0,2019-03-02 06:00:00,1043,NaN,NaN,1037,NaN,NaN,2,4,1-1,2-4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497681,Finished,2,NaN,2411,NaN,NaN,9,0,2019-03-02 06:00:00,1040,NaN,NaN,1045,NaN,NaN,2,0,0-0,2-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497682,Finished,2,NaN,1928,NaN,NaN,9,0,2019-03-02 07:00:00,1041,NaN,NaN,1046,NaN,NaN,1,0,0-0,1-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497683,Finished,2,NaN,2412,NaN,NaN,9,0,2019-03-02 08:00:00,1052,NaN,NaN,1049,NaN,NaN,0,2,0-2,0-2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497684,Finished,2,NaN,1443,NaN,NaN,9,0,2019-03-02 08:00:00,1035,NaN,NaN,1039,NaN,NaN,2,3,1-2,2-3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497685,Finished,2,NaN,2414,NaN,NaN,9,0,2019-03-02 08:00:00,1044,NaN,NaN,1042,NaN,NaN,0,1,0-0,0-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497686,Finished,3,NaN,2866,NaN,NaN,10,0,2019-03-09 06:00:00,1042,NaN,NaN,1052,NaN,NaN,0,1,0-0,0-1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497687,Finished,3,NaN,3173,NaN,NaN,10,0,2019-03-09 06:00:00,1049,NaN,NaN,1043,NaN,NaN,5,2,2-1,5-2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,home
J1,2019,497688,Finished,3,NaN,2277,NaN,NaN,10,0,2019-03-09 07:00:00,1036,NaN,NaN,1044,NaN,NaN,1,2,1-1,1-2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
J1,2019,497689,Finished,3,NaN,2862,NaN,NaN,10,0,2019-03-09 07:00:00,1037,NaN,NaN,1040,NaN,NaN,2,3,1-2,2-3,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,away
